experiment,mode,gamma,phase,phase_iteration,t,objective_estimate,reg_objective_estimate,sample_loss,beta_min,beta_max
adaptive gamma,adaptive,0.0001,3,105,177,1.4172318889728313,65.75215336002705,2.0084270894041536,1.6899593468833625e-05,5.4214598950708224e-05
adaptive gamma,adaptive,0.0001,3,106,178,1.416502120507897,65.75143044538201,1.1388209954529644,1.689670562874431e-05,5.4328862722069394e-05
adaptive gamma,adaptive,0.0001,3,107,179,1.4141780406063673,65.74912906606998,1.4030302812450017,1.6896179421624868e-05,5.5169634806998986e-05
adaptive gamma,adaptive,0.0001,3,108,180,1.4120101293173557,65.74698214693503,1.4093457834715446,1.6894631594281864e-05,5.597743511094142e-05
adaptive gamma,adaptive,0.0001,3,109,181,1.409985084167917,65.74497690764358,1.2531620004352098,1.6893358133792325e-05,5.672321177655739e-05
adaptive gamma,adaptive,0.0001,3,110,182,1.4075975672708259,65.7426130578545,0.7221482458715898,1.6892367971479855e-05,5.770477029570989e-05
adaptive gamma,adaptive,0.0001,3,111,183,1.4044236096522273,65.73947176799301,1.9804372726876414,1.6892128125505086e-05,5.8897464790732454e-05
adaptive gamma,adaptive,0.0001,3,112,184,1.4040121594247965,65.73906412906898,1.1926722900396318,1.689078497587332e-05,5.8934702016188584e-05
adaptive gamma,adaptive,0.0001,3,113,185,1.4016385580165076,65.73671447002543,1.2483107133593578,1.6890126156995223e-05,5.9903893376854684e-05
adaptive gamma,adaptive,0.0001,3,114,186,1.3994967260557527,65.7345949130441,1.1697110290995576,1.688951232361169e-05,6.071701208976602e-05
adaptive gamma,adaptive,0.0001,3,115,187,1.3971721444459415,65.73229438106875,1.4194896235985026,1.6888984686260598e-05,6.165341722439441e-05
adaptive gamma,adaptive,0.0001,3,116,188,1.395454366502443,65.73059466157025,1.0919200200368617,1.6888263624043116e-05,6.225272450334912e-05
adaptive gamma,adaptive,0.0001,3,117,189,1.392853565941331,65.72802128394652,1.0031858137424874,1.6887740441550998e-05,6.338673948973128e-05
